KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL MAKASAR;AREA KENDARI;CP BAUBAU;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MEDAN;AREA MEDAN 1;CP BINJAI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA CIREBON;CP ANJATAN;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL JAKARTA 1;AREA KRAMATJATI;CP CIBUBUR;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL JAKARTA 1;AREA BOGOR;CP BOGOR;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP TANJUNG PURA;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA TASIKMALAYA;CP BANJAR;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL MAKASAR;AREA PARE-PARE;CP CABENGE;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MAKASAR;AREA PALOPO;CP SENGKANG;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL MAKASAR;AREA PALOPO;CP PASAR MINI;KONVEN;FRONTLINER;FRONTLINER;37,5
KANWIL MAKASAR;AREA PARE-PARE;CP MAMUJU;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL JAKARTA 1;AREA SENEN;CP SUDIRMAN;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL MAKASAR;AREA PALOPO;CP BELOPA;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MAKASAR;AREA BANTAENG;CP BULUKUMBA;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL MAKASAR;AREA BANTAENG;CP BONTOBAHARI;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL JAKARTA 1;AREA BOGOR;CP KELAPA DUA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA BANTAENG;CP BANTAENG;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL MAKASAR;AREA PALOPO;CP PASAR SENTRAL PALOPO;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MAKASAR;AREA PALOPO;CP PALOPO;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL JAKARTA 1;AREA BEKASI;CP RENGAS DENGKLOK;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL BANDUNG;AREA CIREBON;CP CILAMAYA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 2;CP PALLANGGA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA PARE-PARE;CP SIDRAP;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL BANDUNG;AREA BANDUNG 2;CP CIKAMPEK;KONVEN;FRONTLINER;FRONTLINER;0
